Plant_Name,Scientific_Name,Time_to_Flower(Days),Native_Region
Water Soldier,Stratiotes aloides,90-120,Europe/Asia
Water Stargrass,Heteranthera dubia,60-90,Americas
Water Yam,Dioscorea alata,210-270,Africa/Asia
Watercress,Nasturtium officinale,40-60,Europe/Asia
Watermelon,Citrullus lanatus,70-90,West Africa
Waterwheel Plant,Aldrovanda vesiculosa,90-120,Europe/Africa/Asia/Australia
Weeping Fig,Ficus benjamina,365-730,Asia/Australia
Weigela,Weigela florida,365-730,East Asia
Western Lily,Lilium occidentale,60-90,California
Western Prairie Fringed Orchid,Platanthera praeclara,365-730,Central United States
Western Redcedar,Thuja plicata,1825-3650,Pacific Northwest North America
White Ash,Fraxinus americana,1825-3650,Eastern North America
White Baneberry,Actaea pachypoda,365,North America
White Birch,Betula papyrifera,1825-3650,Northern Hemisphere
White Fringeless Orchid,Platanthera integrilabia,60-90,Southeastern United States
White Oak,Quercus alba,1825-3650,Eastern North America
White Pepper,Piper nigrum,1095-1460,India/Southeast Asia
White Prairie Clover,Dalea candida,60-90,Central United States
White Sapote,Casimirola edulis,730-1095,Central America
White Snakeroot,Ageratina altissima,90-120,North America
White Wakerobin,Trillium simile,60-90,United States (Eastern)
White-haired Goldenrod,Solidago albopilosa,60-90,Kentucky
White-Top Pitcher Plant,Sarracenia leucophylla,730-1460,Southeastern United States
Wiggins' Acacia,Acacia greggii var. wigginsii,60-90,California
Wild Bergamot,Monarda fistulosa,70-110,North America
Wild Blue Phlox,Phlox divaricata,60-90,North America
Wild Calla,Calla palustris,90-120,Northern Hemisphere (various)
Wild Carrot,Daucus carota,60-80,Europe/Asia
Wild Columbine,Aquilegia canadensis,60-90,North America
Wild Garlic,Allium vineale,60-90,Europe/Asia
Wild Geranium,Geranium maculatum,60-90,North America
Wild Ginger,Asarum canadense,60-120,North America
Wild Indigo,Baptisia australis,60-120,North America
Wild Leek,Allium tricoccum,60-90,North America
Wild Lupine,Lupinus perennis,60-90,North America
Wild Rice,Zizania aquatica,120-150,North America/Asia
Wild Senna,Senna hebecarpa,60-120,North America
Wild Yam,Dioscorea villosa,210-270,North America/Asia
Willamette Daisy,Erigeron decumbens var. decumbens,60-90,Oregon
Windmill Palm,Trachycarpus fortunei,1825-2920,China
Winged Bean,Psophocarpus tetragonolobus,60-90,New Guinea/Southeast Asia
Winter Savory,Satureja montana,50-60,Southern Europe
Winterberry,Ilex verticillata,365-730,Eastern North America
Wisteria,Wisteria sinensis,365-730,Asia/North America
Witch Hazel,Hamamelis virginiana,365-730,North America/Asia
Wood Apple,Limonia acidissima,1460-2190,India/Southeast Asia
Wood Avens,Geum urbanum,60-90,Europe/Asia/North America
Yacon,Smallanthus sonchifolius,180-210,South America
Yacón,Smallanthus sonchifolius,180-210,South America
Yadkin River Goldenrod,Solidago plumosa,60-90,North Carolina
Yam,Dioscorea alata,210-270,Africa/Asia
Yam Bean,Pachyrhizus erosus,90-120,Central America
Yam Daisy,Microseris lanceolata,90-120,Australia
Yampah,Perideridia americana,90-120,North America
Yardlong Bean,Vigna unguiculata subsp. sesquipedalis,60-90,South Asia/China
Yarrow,Achillea millefolium,60-90,Europe/Asia/North America
Yautia,Xanthosoma sagittifolium,180-240,South America
Yautía blanca,Xanthosoma sagittifolium,180-240,South America
Yellow Birch,Betula alleghaniensis,1825-3650,Northeastern North America
Yellow Flag Iris,Iris pseudacorus,365,Europe/Western Asia/North Africa
Yellow Jessamine,Gelsemium sempervirens,90-120,Southeastern United States
Yellow Pitcher Plant,Sarracenia flava,730-1460,Southeastern United States
Yellow Yam,Dioscorea cayenensis,210-270,Africa/Asia
Yellowhorn,Xanthoceras sorbifolium,1095-1460,Northern China
Yew,Taxus baccata,1825-3650,Europe/Asia/North America
Yosemite Woolly Sunflower,Eriophyllum lanatum var. hallii,60-90,California
Yuca (Cassava),Manihot esculenta,210-270,South America
Yucca,Yucca filamentosa,365-730,Americas/Caribbean
Zantedeschia,Zantedeschia aethiopica,90-120,Africa
Zebra Haworthia,Haworthia fasciata,180-365,South Africa
Zinnia,Zinnia elegans,60-75,Mexico/Southwestern US
Zoysia Grass,Zoysia spp.,365-730,East Asia
Zucchini,Cucurbita pepo,45-60,Central America
ZZ Plant,Zamioculcas zamiifolia,180-365,Eastern Africa
